Time,"Country Name","Unemployment with intermediate education (% of total labor force with intermediate education)","Total employment, total (ages 15+)","Labor force, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Government expenditure on education, total (% of GDP)","Labor force with advanced education (% of total working-age population with advanced education)","Labor force with basic education (% of total working-age population with basic education)","Labor force with intermediate education (% of total working-age population with intermediate education)","New businesses registered (number)","Population, total","Tax revenue (% of GDP)","GDP growth (annual %)","GDP per capita, PPP (constant 2011 international $)","Industry, value added (annual % growth)","Manufacturing, value added (% of GDP)","Export volume index (2000 = 100)","Foreign direct investment, net outflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)","GINI index (World Bank estimate)","Tax payments (number)","Population growth (annual %)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Unemployment with advanced education (% of total labor force with advanced education)"
2008,"Afghanistan","NA","6743809","7390836","8.75500011444092","NA","NA","NA","NA","903","27294031","6.03942830571341","3.61136839226168","1298.14315888036","5.74182036439484","17.6968929946544","190.0386467","0.702613120472205","0.3959856893148","NA","19","2.5125738785155","NA","NA","NA"
2008,"Albania","18.5995006561279","1073591","1234727","13.0500001907349","NA","82.7475967407227","42.2117004394531","51.1995010375977","3005","2947314","NA","3.76085368324381","9153.78820562203","39.135045561681","4.99776137699549","360.3430818","2.88491444871919","9.72769681893617","30","44","-0.767342959142321","95.9386367797852","98.8312072753906","15.3816995620728"
2008,"Algeria","NA","9453083","10661124","11.3299999237061","4.33701992034912","NA","NA","NA","11120","34860715","45.2529353718342","2.36013486105327","12660.4032440006","1.95001339135817","NA","182.3682498","0.185877826974316","1.54303880573698","NA","27","1.62129805825395","75.1360473632813","93.7673263549805","NA"
2008,"American Samoa","NA","NA","NA","NA","NA","NA","NA","NA","NA","57030","NA","-2.61348005502063","NA","NA","NA","41.92387815","NA","NA","NA","NA","-1.51917515397331","NA","NA","NA"
2008,"Andorra","NA","NA","NA","NA","2.93006992340088","NA","NA","NA","NA","83861","NA","-8.59000378676674","NA","NA","3.55140323559298","227.0970431","NA","NA","NA","NA","1.41466476822685","NA","NA","NA"
2008,"Angola","NA","7612207","8903075","14.4989995956421","NA","NA","NA","NA","NA","21759420","26.9788742352063","13.8170977062242","5978.32324902683","NA","NA","139.5271173","3.05263000759129","1.99454762570202","42.7","32","3.56344784206319","NA","NA","NA"
2008,"Antigua and Barbuda","NA","NA","NA","NA","NA","NA","NA","NA","215","92478","18.7390725491031","-0.03013326815055","24111.3770844998","0.351261968770402","1.59025321185619","88.27458807","0.147880332704353","11.6033450094969","NA","57","1.19331990037546","NA","NA","NA"
2008,"Argentina","10.9961004257202","16698278","18118705","7.84000015258789","4.84440994262695","79.7677993774414","36.3487014770508","54.8658981323242","14805","40382389","13.3178463574032","4.05723310346406","18436.8624668727","3.07204281358982","16.5383660984547","136.6048393","0.384704489247797","2.68990286531228","44.5","9","1.02589971759083","NA","NA","4.42929983139038"
2008,"Armenia","NA","1096969","1311694","17.9850006103516","3.17272996902466","NA","NA","NA","3344","2908220","17.3217587321083","6.90000000168239","7558.36164780203","7.43343155233167","8.84215177305394","190.5787683","0.160246222769001","8.09234920917782","29.2","54","-0.850367271208761","NA","NA","NA"
2008,"Aruba","NA","NA","NA","NA","4.91558980941772","NA","NA","NA","NA","101353","NA","-6.88130206359888","NA","NA","3.64994467355396","65.82652547","0.100047822859327","0.676323282529048","NA","NA","0.1313107068666","NA","NA","NA"
